   29 1250
                    -.3419687E+00   -.3824524E+00   -.2237947E+00
                    -.3013712E+01   -.6673325E+00   -.1723714E+00
                    -.4165565E+01   -.3077458E+01   -.4524195E+00
                    -.6721855E+01   -.3333760E+01   -.4098062E+00
                    -.8287157E+01   -.1187678E+01   -.8210485E-01
                    -.7238009E+01    .1140936E+01    .1954544E+00
                    -.4575025E+01    .1461685E+01    .1597745E+00
                    -.3399745E+01    .3855950E+01    .4476177E+00
                    -.8446266E+00    .4066490E+01    .3929725E+00
                     .7609892E+00    .1930588E+01    .4866614E-01
                     .8094966E+00   -.2040348E+01   -.4575425E+00
                    -.2963674E+01   -.4699178E+01   -.6925735E+00
                    -.7569862E+01   -.5170336E+01   -.6211664E+00
                    -.1030889E+02   -.1412886E+01   -.5101884E-01
                    -.8420823E+01    .2778503E+01    .4495849E+00
                    -.4564930E+01    .5505723E+01    .7057374E+00
                     .1307880E-01    .5900226E+01    .6115647E+00
                     .3599491E+01    .2357425E+01    .2707223E-01
                     .5232699E+01    .2557821E+00   -.1128547E+01
                     .7884626E+01    .1281233E+01   -.1675628E+01
                     .5457495E+01   -.2069423E+01    .6742715E+00
                     .4685351E+01   -.4102021E+01   -.1799001E+00
                     .6398197E+01   -.1602800E+01    .2754058E+01
                     .4390376E+01   -.3691619E+00   -.2892971E+01
                     .9068506E+01   -.1830843E+00   -.2495930E+01
                     .8774043E+01    .1900774E+01    .6234020E-01
                     .7835869E+01    .2863310E+01   -.2994926E+01
                     .4242550E+01    .2648473E+01    .1954913E+01
                     .3940033E+01    .4124677E+01   -.9782360E+00
    -.1457416E+00   -.3419687E+00   -.3824524E+00    .3744632E+01
    -.1619179E+00    .1642244E+01   -.3824524E+00    .3212963E+01
    -.1370663E+00   -.1334075E+01   -.2100831E+01    .3212963E+01
    -.1568089E+00    .6501378E+00   -.2100831E+01    .3212963E+01
    -.1284447E+00   -.8310704E+00   -.3784229E+01    .1760418E+01
    -.1288463E+00   -.1334075E+01    .1335927E+01   -.3660553E+01
    -.1214594E+00   -.1334075E+01   -.2100831E+01   -.3660553E+01
    -.1341779E+00    .6501378E+00   -.2100831E+01   -.3660553E+01
    -.1288215E+00   -.3419687E+00   -.3824524E+00   -.4192221E+01
    -.1283085E+00   -.3013712E+01   -.6673325E+00    .3796055E+01
    -.1314227E+00   -.2021605E+01    .1051047E+01    .3264387E+01
    -.1316785E+00   -.2021605E+01   -.2385711E+01    .3264387E+01
    -.1263373E+00   -.2021605E+01    .1051047E+01   -.3609129E+01
    -.1184688E+00   -.4997925E+01   -.6673325E+00   -.3609129E+01
    -.1200702E+00   -.3013712E+01   -.6673325E+00   -.4140798E+01
    -.1227792E+00   -.4165565E+01   -.3077458E+01    .3516007E+01
    -.1280252E+00   -.2181351E+01   -.3077458E+01    .2984339E+01
    -.1145697E+00   -.5157671E+01   -.4795837E+01    .2984339E+01
    -.1162458E+00   -.3173458E+01   -.4795837E+01    .2984339E+01
    -.9490313E-01   -.4654666E+01   -.6479235E+01    .1531794E+01
    -.1136393E+00   -.2181351E+01   -.3077458E+01   -.3889178E+01
    -.1183957E+00   -.5157671E+01   -.1359079E+01   -.3889178E+01
    -.1023692E+00   -.5157671E+01   -.4795837E+01   -.3889178E+01
    -.1021552E+00   -.3173458E+01   -.4795837E+01   -.3889178E+01
    -.1119691E+00   -.4165565E+01   -.3077458E+01   -.4420846E+01
    -.1126867E+00   -.6721855E+01   -.3333760E+01    .3558620E+01
    -.1210565E+00   -.5729748E+01   -.1615381E+01    .3026952E+01
    -.9414034E-01   -.7713961E+01   -.5052139E+01    .3026952E+01
    -.1092665E+00   -.5729748E+01   -.5052139E+01    .3026952E+01
    -.9321155E-01   -.5294174E+01   -.6459945E+01    .1574407E+01
    -.1184479E+00   -.5729748E+01   -.1615381E+01   -.3846564E+01
    -.9065332E-01   -.8706068E+01   -.3333760E+01   -.3846564E+01
    -.8579062E-01   -.7713961E+01   -.5052139E+01   -.3846564E+01
    -.9809634E-01   -.5729748E+01   -.5052139E+01   -.3846564E+01
