    6  452    0
                    .0000000E+00    .0000000E+00    .1244167E+01
                    .0000000E+00    .0000000E+00   -.1244167E+01
                    .0000000E+00    .1727794E+01    .2315988E+01
                    .0000000E+00   -.1727794E+01   -.2315988E+01
                    .0000000E+00    .1727794E+01   -.2315988E+01
                    .0000000E+00   -.1727794E+01    .2315988E+01
    .6430061E-02    .0000000E+00    .0000000E+00    .5212592E+01
    .2232321E-02    .1984212E+01    .0000000E+00    .4680924E+01
    .2232321E-02   -.1984212E+01    .2429959E-15    .4680924E+01
   -.7766387E-02    .3436756E+01    .0000000E+00    .3228380E+01
   -.6620611E-02   -.3297544E+01    .9682462E+00    .3228380E+01
   -.6620611E-02   -.3297544E+01   -.9682462E+00    .3228380E+01
   -.2171704E-01    .3968425E+01    .0000000E+00    .1244167E+01
   -.1666430E-01    .3513865E+01    .1844219E+01    .1244167E+01
   -.1049428E-01   -.2970408E+01    .2631552E+01    .1244167E+01
   -.2044330E-01   -.3853109E+01    .9497062E+00    .1244167E+01
   -.2044330E-01   -.3853109E+01   -.9497062E+00    .1244167E+01
   -.1049428E-01   -.2970408E+01   -.2631552E+01    .1244167E+01
   -.1666430E-01    .3513865E+01   -.1844219E+01    .1244167E+01
   -.2171704E-01    .3968425E+01    .0000000E+00   -.1244167E+01
   -.1666430E-01    .3513865E+01    .1844219E+01   -.1244167E+01
   -.1049428E-01   -.2970408E+01    .2631552E+01   -.1244167E+01
   -.2044330E-01   -.3853109E+01    .9497062E+00   -.1244167E+01
   -.2044330E-01   -.3853109E+01   -.9497062E+00   -.1244167E+01
   -.1049428E-01   -.2970408E+01   -.2631552E+01   -.1244167E+01
   -.1666430E-01    .3513865E+01   -.1844219E+01   -.1244167E+01
   -.7766387E-02    .3436756E+01    .0000000E+00   -.3228380E+01
   -.6620611E-02   -.3297544E+01    .9682462E+00   -.3228380E+01
   -.6620611E-02   -.3297544E+01   -.9682462E+00   -.3228380E+01
    .2232321E-02    .1984212E+01    .0000000E+00   -.4680924E+01
    .2232321E-02   -.1984212E+01    .2429959E-15   -.4680924E+01
    .6430061E-02    .4859918E-15    .0000000E+00   -.5212592E+01
    .7752171E-02    .0000000E+00    .1727794E+01    .5490727E+01
    .5008527E-02    .1866065E+01    .1727794E+01    .4884406E+01
    .9885021E-02    .5766458E+00    .3502527E+01    .4884406E+01
    .7717804E-02   -.1509678E+01    .2824639E+01    .4884406E+01
    .4602411E-02   -.1509678E+01    .6309481E+00    .4884406E+01
   -.3358170E-02    .3019357E+01    .1727794E+01    .3297036E+01
    .4887635E-02    .2312962E+01    .3668599E+01    .3297036E+01
    .9810861E-02    .5243058E+00    .4701280E+01    .3297036E+01
    .8108610E-02   -.1509678E+01    .4342633E+01    .3297036E+01
    .6598806E-03   -.2837267E+01    .2760475E+01    .3297036E+01
   -.8201553E-03    .2312962E+01    .3668599E+01    .1334939E+01
    .7069295E-02    .5243058E+00    .4701280E+01    .1334939E+01
    .4447724E-02   -.1509678E+01    .4342633E+01    .1334939E+01
    .4447724E-02   -.1509678E+01   -.4342633E+01   -.1334939E+01
    .7069295E-02    .5243058E+00   -.4701280E+01   -.1334939E+01
   -.8201553E-03    .2312962E+01   -.3668599E+01   -.1334939E+01
   -.3358170E-02    .3019357E+01   -.1727794E+01   -.3297036E+01
    .6598806E-03   -.2837267E+01   -.2760475E+01   -.3297036E+01
    .8108610E-02   -.1509678E+01   -.4342633E+01   -.3297036E+01
    .9810861E-02    .5243058E+00   -.4701280E+01   -.3297036E+01
    .4887635E-02    .2312962E+01   -.3668599E+01   -.3297036E+01
    .5008527E-02    .1866065E+01   -.1727794E+01   -.4884406E+01
    .4602411E-02   -.1509678E+01   -.6309481E+00   -.4884406E+01
    .7717804E-02   -.1509678E+01   -.2824639E+01   -.4884406E+01
    .9885021E-02    .5766458E+00   -.3502527E+01   -.4884406E+01
    .7752171E-02    .3887934E-15   -.1727794E+01   -.5490727E+01
   -.8201553E-03    .2312962E+01    .3668599E+01   -.1334939E+01
    .7069295E-02    .5243058E+00    .4701280E+01   -.1334939E+01
    .4447724E-02   -.1509678E+01    .4342633E+01   -.1334939E+01
   -.3358170E-02    .3019357E+01    .1727794E+01   -.3297036E+01
    .4887635E-02    .2312962E+01    .3668599E+01   -.3297036E+01
    .9810861E-02    .5243058E+00    .4701280E+01   -.3297036E+01
    .8108610E-02   -.1509678E+01    .4342633E+01   -.3297036E+01
    .6598806E-03   -.2837267E+01    .2760475E+01   -.3297036E+01
    .5008527E-02    .1866065E+01    .1727794E+01   -.4884406E+01
    .9885021E-02    .5766458E+00    .3502527E+01   -.4884406E+01
    .7717804E-02   -.1509678E+01    .2824639E+01   -.4884406E+01
    .4602411E-02   -.1509678E+01    .6309481E+00   -.4884406E+01
    .7752171E-02    .3887934E-15    .1727794E+01   -.5490727E+01
    .7752171E-02    .0000000E+00   -.1727794E+01    .5490727E+01
    .5008527E-02    .1866065E+01   -.1727794E+01    .4884406E+01
    .4602411E-02   -.1509678E+01   -.6309481E+00    .4884406E+01
    .7717804E-02   -.1509678E+01   -.2824639E+01    .4884406E+01
    .9885021E-02    .5766458E+00   -.3502527E+01    .4884406E+01
   -.3358170E-02    .3019357E+01   -.1727794E+01    .3297036E+01
    .6598806E-03   -.2837267E+01   -.2760475E+01    .3297036E+01
    .8108610E-02   -.1509678E+01   -.4342633E+01    .3297036E+01
    .9810861E-02    .5243058E+00   -.4701280E+01    .3297036E+01
    .4887635E-02    .2312962E+01   -.3668599E+01    .3297036E+01
    .4447724E-02   -.1509678E+01   -.4342633E+01    .1334939E+01
    .7069295E-02    .5243058E+00   -.4701280E+01    .1334939E+01
   -.8201553E-03    .2312962E+01   -.3668599E+01    .1334939E+01
    .4764221E-02    .0000000E+00    .0000000E+00    .5779510E+01
    .2297711E-02    .1967811E+01    .0000000E+00    .5330370E+01
    .2297711E-02   -.1967811E+01    .2409873E-15    .5330370E+01
   -.3869609E-02    .3545873E+01    .0000000E+00    .4071907E+01
   -.3027675E-02   -.3402241E+01    .9989880E+00    .4071907E+01
   -.3027675E-02   -.3402241E+01   -.9989880E+00    .4071907E+01
   -.1220032E-01    .4421632E+01    .0000000E+00    .2253376E+01
   -.9366936E-02    .3983753E+01    .1918474E+01    .2253376E+01
   -.9366936E-02   -.3983753E+01    .1918474E+01    .2253376E+01
   -.1220032E-01   -.4421632E+01    .5414936E-15    .2253376E+01
   -.9366936E-02   -.3983753E+01   -.1918474E+01    .2253376E+01
   -.9366936E-02    .3983753E+01   -.1918474E+01    .2253376E+01
   -.2108856E-01    .4421632E+01    .0000000E+00    .2349586E+00
   -.1695869E-01    .3983753E+01    .1918474E+01    .2349586E+00
   -.6389127E-02    .2756842E+01    .3456971E+01    .2349586E+00
   -.6389127E-02   -.2756842E+01    .3456971E+01    .2349586E+00
   -.1695869E-01   -.3983753E+01    .1918474E+01    .2349586E+00
   -.2108856E-01   -.4421632E+01    .5414936E-15    .2349586E+00
   -.1695869E-01   -.3983753E+01   -.1918474E+01    .2349586E+00
   -.6389127E-02   -.2756842E+01   -.3456971E+01    .2349586E+00
   -.6389127E-02    .2756842E+01   -.3456971E+01    .2349586E+00
   -.1695869E-01    .3983753E+01   -.1918474E+01    .2349586E+00
   -.2108856E-01    .4421632E+01    .0000000E+00   -.2349586E+00
   -.1695869E-01    .3983753E+01    .1918474E+01   -.2349586E+00
   -.6389127E-02    .2756842E+01    .3456971E+01   -.2349586E+00
   -.6389127E-02   -.2756842E+01    .3456971E+01   -.2349586E+00
   -.1695869E-01   -.3983753E+01    .1918474E+01   -.2349586E+00
   -.2108856E-01   -.4421632E+01    .5414936E-15   -.2349586E+00
   -.1695869E-01   -.3983753E+01   -.1918474E+01   -.2349586E+00
   -.6389127E-02   -.2756842E+01   -.3456971E+01   -.2349586E+00
   -.6389127E-02    .2756842E+01   -.3456971E+01   -.2349586E+00
