   22  983    0
                    .6691150E+01   -.2415530E+01    .1901946E+01
                    .5859394E+01   -.6371101E+00    .1355027E+01
                    .7169353E+01    .3873112E+00    .1617036E+00
                    .5483641E+01    .4791921E+00    .3029261E+01
                    .3432574E+01   -.1223653E+01   -.4229372E-01
                    .2709116E+01   -.3391558E+01   -.3540542E+00
                    .2100045E+01    .7803424E+00   -.9843761E+00
                    .2593367E+01    .3425741E+01   -.3352014E+00
                    .4589608E+01    .3750573E+01   -.8213252E-01
                    .1962853E+01    .4606742E+01   -.1882711E+01
                    .1582487E+01    .3949326E+01    .1360258E+01
                   -.3620105E+00    .2196450E+00   -.2037127E+01
                   -.8286530E+00    .1599250E+01   -.3477103E+01
                   -.3066046E+00   -.1641358E+01   -.2868308E+01
                   -.2403479E+01    .2781814E+00    .1919750E-02
                   -.1989192E+01    .9870498E+00    .2154880E+01
                   -.4702580E+01   -.4746667E+00   -.8196909E+00
                   -.4899658E+01   -.1120485E+01   -.2577510E+01
                   -.6900317E+01   -.5391745E+00    .8552223E+00
                   -.6308758E+01    .1925409E+00    .2662222E+01
                   -.8414014E+01    .6220224E+00    .1130831E+00
                   -.7580220E+01   -.2455025E+01    .1095876E+01
   -.1177351E-02    .6691150E+01   -.2415530E+01    .5076686E+01
    .3238035E-02    .8557216E+01   -.2415530E+01    .4470365E+01
   -.1088718E-01    .5181472E+01   -.3512375E+01    .4470365E+01
   -.1430089E-02    .7267796E+01   -.4190263E+01    .4470365E+01
    .4732828E-02    .9710507E+01   -.2415530E+01    .2882995E+01
   -.2786882E-01    .5181472E+01   -.5030370E+01    .2882995E+01
   -.6795936E-02    .7215456E+01   -.5389016E+01    .2882995E+01
    .2771029E-02    .9004112E+01   -.4356335E+01    .2882995E+01
    .3446517E-02    .9710507E+01   -.2415530E+01    .9208978E+00
   -.1513031E-01    .7215456E+01   -.5389016E+01    .9208978E+00
   -.5348042E-03    .9004112E+01   -.4356335E+01    .9208978E+00
   -.1541636E-01    .7267796E+01   -.4190263E+01   -.6664720E+00
   -.7111202E-02    .4867288E+01   -.2355488E+01    .4791783E+01
    .5445445E-02    .9296151E+01   -.6371101E+00    .3339239E+01
    .9076462E-02    .8750578E+01    .1220941E+01    .3339239E+01
    .8629271E-03    .8750578E+01   -.2495161E+01   -.6291854E+00
   -.1026812E-02    .6851500E+01   -.2355488E+01   -.2081730E+01
    .1003659E-01    .1018871E+02    .3873112E+00    .1142752E+01
    .1493176E-01    .9482314E+01    .2328116E+01    .1142752E+01
    .2189381E-01    .7693658E+01    .3360797E+01    .1142752E+01
    .1269548E-01    .1018871E+02    .3873112E+00   -.8193449E+00
    .1822182E-01    .9482314E+01    .2328116E+01   -.8193449E+00
    .2580351E-01    .7693658E+01    .3360797E+01   -.8193449E+00
    .5379737E-02    .9482314E+01   -.1553494E+01   -.8193449E+00
    .1355308E-01    .9035418E+01    .3873112E+00   -.2406715E+01
    .1907258E-01    .7745998E+01    .2162045E+01   -.2406715E+01
    .5994002E-02    .7745998E+01   -.1387422E+01   -.2406715E+01
    .1250407E-01    .7169353E+01    .3873112E+00   -.3013036E+01
    .5172485E-02    .5483641E+01    .4791921E+00    .6204001E+01
    .7052892E-02    .7349706E+01    .4791921E+00    .5597679E+01
    .1067364E-01    .6060287E+01    .2253926E+01    .5597679E+01
    .3435185E-02    .3973963E+01    .1576038E+01    .5597679E+01
   -.3215429E-02    .3973963E+01   -.6176535E+00    .5597679E+01
    .3284286E-03    .6060287E+01   -.1295541E+01    .5597679E+01
    .1178883E-01    .7796603E+01    .2419997E+01    .4010309E+01
    .1448270E-01    .6007947E+01    .3452678E+01    .4010309E+01
    .9701595E-02    .3973963E+01    .3094032E+01    .4010309E+01
   -.6010872E-02    .2646374E+01    .1511873E+01    .4010309E+01
   -.8616183E-02    .2646374E+01   -.5534888E+00    .4010309E+01
   -.3073674E-01    .1448361E+01   -.1223653E+01    .3394463E+01
   -.3374050E-01    .2440468E+01   -.2942032E+01    .3394463E+01
   -.1421753E-01    .6323757E+01   -.3081704E+01   -.2026506E+01
   -.3632843E-03    .5416786E+01   -.1223653E+01   -.3479050E+01
   -.3890475E-01    .2709116E+01   -.3391558E+01    .3349809E+01
   -.5288435E-01    .8571844E+00   -.3391558E+01    .2853585E+01
   -.5901559E-01    .1783150E+01   -.4995377E+01    .2853585E+01
   -.5268911E-01    .3635082E+01   -.4995377E+01    .2853585E+01
   -.4810486E-01   -.4985235E+00   -.3391558E+01    .1497877E+01
   -.5968984E-01    .1140811E+00   -.5276961E+01    .1497877E+01
   -.6426677E-01    .1717901E+01   -.6442204E+01    .1497877E+01
   -.6393758E-01    .3700331E+01   -.6442204E+01    .1497877E+01
   -.4660534E-01    .5304151E+01   -.5276961E+01    .1497877E+01
   -.5267517E-01   -.4985235E+00   -.5243489E+01   -.3540542E+00
   -.6101817E-01    .8571844E+00   -.6599197E+01   -.3540542E+00
   -.6455073E-01    .2709116E+01   -.7095421E+01   -.3540542E+00
   -.6298411E-01    .4561047E+01   -.6599197E+01   -.3540542E+00
   -.4802925E-01    .5916755E+01   -.5243489E+01   -.3540542E+00
