    3  295    0
                  -0.9982123E-32   0.0000000E+00   0.2313846E+00
                  -0.2610123E-32   0.1494187E+01  -0.9255383E+00
                  -0.1829851E-15  -0.1494187E+01  -0.9255383E+00
  -0.4207115E-01  -0.9982123E-32   0.0000000E+00   0.3935248E+01
  -0.4040255E-01   0.1851931E+01   0.0000000E+00   0.3439024E+01
  -0.3659220E-01   0.9259657E+00   0.1603820E+01   0.3439024E+01
  -0.3659220E-01  -0.9259657E+00   0.1603820E+01   0.3439024E+01
  -0.4040255E-01  -0.1851931E+01   0.2267962E-15   0.3439024E+01
  -0.3659220E-01  -0.9259657E+00  -0.1603820E+01   0.3439024E+01
  -0.3659220E-01   0.9259657E+00  -0.1603820E+01   0.3439024E+01
  -0.3353943E-01   0.3207639E+01   0.0000000E+00   0.2083316E+01
  -0.2798292E-01   0.2595035E+01   0.1885403E+01   0.2083316E+01
  -0.1839734E-01   0.9912151E+00   0.3050646E+01   0.2083316E+01
  -0.1839734E-01  -0.9912151E+00   0.3050646E+01   0.2083316E+01
  -0.2798292E-01  -0.2595035E+01   0.1885403E+01   0.2083316E+01
  -0.3353943E-01  -0.3207639E+01   0.3928225E-15   0.2083316E+01
  -0.2798292E-01  -0.2595035E+01  -0.1885403E+01   0.2083316E+01
  -0.1839734E-01  -0.9912151E+00  -0.3050646E+01   0.2083316E+01
  -0.1839734E-01   0.9912151E+00  -0.3050646E+01   0.2083316E+01
  -0.2798292E-01   0.2595035E+01  -0.1885403E+01   0.2083316E+01
  -0.1836929E-01   0.3703863E+01   0.0000000E+00   0.2313846E+00
  -0.1176320E-01   0.3207639E+01   0.1851931E+01   0.2313846E+00
  -0.1176320E-01  -0.3207639E+01   0.1851931E+01   0.2313846E+00
  -0.1836929E-01  -0.3703863E+01   0.4535924E-15   0.2313846E+00
  -0.1176320E-01  -0.3207639E+01  -0.1851931E+01   0.2313846E+00
  -0.1176320E-01   0.3207639E+01  -0.1851931E+01   0.2313846E+00
   0.5060354E-02   0.3207639E+01   0.0000000E+00  -0.1620547E+01
   0.5060354E-02  -0.3207639E+01   0.3928225E-15  -0.1620547E+01
   0.3929483E-02   0.2312962E+01   0.3434992E+01   0.5551018E-01
   0.1052136E-01   0.5243058E+00   0.4467673E+01   0.5551018E-01
   0.8399411E-02  -0.1509678E+01   0.4109026E+01   0.5551018E-01
  -0.3413995E-02  -0.2837267E+01   0.2526867E+01   0.5551018E-01
   0.1263436E-01   0.3019357E+01   0.1494187E+01  -0.1906587E+01
   0.1854703E-01   0.2312962E+01   0.3434992E+01  -0.1906587E+01
   0.2189241E-01   0.5243058E+00   0.4467673E+01  -0.1906587E+01
   0.2074762E-01  -0.1509678E+01   0.4109026E+01  -0.1906587E+01
   0.1557596E-01  -0.2837267E+01   0.2526867E+01  -0.1906587E+01
   0.2725714E-01   0.1866065E+01   0.1494187E+01  -0.3493957E+01
   0.2780837E-01   0.5766458E+00   0.3268920E+01  -0.3493957E+01
   0.2709248E-01  -0.1509678E+01   0.2591032E+01  -0.3493957E+01
   0.3166814E-01  -0.1509678E+01   0.3973411E+00  -0.3493957E+01
   0.3179743E-01   0.3887935E-15   0.1494187E+01  -0.4100278E+01
  -0.3413995E-02  -0.2837267E+01  -0.2526867E+01   0.5551018E-01
   0.8399411E-02  -0.1509678E+01  -0.4109026E+01   0.5551018E-01
   0.1052136E-01   0.5243058E+00  -0.4467673E+01   0.5551018E-01
   0.3929483E-02   0.2312962E+01  -0.3434992E+01   0.5551018E-01
   0.1263436E-01   0.3019357E+01  -0.1494187E+01  -0.1906587E+01
   0.1557596E-01  -0.2837267E+01  -0.2526867E+01  -0.1906587E+01
   0.2074762E-01  -0.1509678E+01  -0.4109026E+01  -0.1906587E+01
   0.2189241E-01   0.5243058E+00  -0.4467673E+01  -0.1906587E+01
   0.1854703E-01   0.2312962E+01  -0.3434992E+01  -0.1906587E+01
   0.2725714E-01   0.1866065E+01  -0.1494187E+01  -0.3493957E+01
   0.3166814E-01  -0.1509678E+01  -0.3973411E+00  -0.3493957E+01
   0.2709248E-01  -0.1509678E+01  -0.2591032E+01  -0.3493957E+01
   0.2780837E-01   0.5766458E+00  -0.3268920E+01  -0.3493957E+01
   0.3179743E-01   0.2058084E-15  -0.1494187E+01  -0.4100278E+01
  -0.3280186E-01  -0.9982123E-32   0.0000000E+00   0.4464371E+01
  -0.3162958E-01   0.1836624E+01   0.0000000E+00   0.4045173E+01
  -0.2964735E-01   0.9183119E+00   0.1590563E+01   0.4045173E+01
  -0.2964735E-01  -0.9183119E+00   0.1590563E+01   0.4045173E+01
  -0.3162958E-01  -0.1836624E+01   0.2249216E-15   0.4045173E+01
  -0.2964735E-01  -0.9183119E+00  -0.1590563E+01   0.4045173E+01
  -0.2964735E-01   0.9183119E+00  -0.1590563E+01   0.4045173E+01
  -0.2743322E-01   0.3309482E+01   0.0000000E+00   0.2870608E+01
  -0.2432965E-01   0.2677427E+01   0.1945265E+01   0.2870608E+01
  -0.1911180E-01   0.1022686E+01   0.3147504E+01   0.2870608E+01
  -0.1911180E-01  -0.1022686E+01   0.3147504E+01   0.2870608E+01
  -0.2432965E-01  -0.2677427E+01   0.1945265E+01   0.2870608E+01
  -0.2743322E-01  -0.3309482E+01   0.4052946E-15   0.2870608E+01
  -0.2432965E-01  -0.2677427E+01  -0.1945265E+01   0.2870608E+01
  -0.1911180E-01  -0.1022686E+01  -0.3147504E+01   0.2870608E+01
  -0.1911180E-01   0.1022686E+01  -0.3147504E+01   0.2870608E+01
  -0.2432965E-01   0.2677427E+01  -0.1945265E+01   0.2870608E+01
  -0.1887374E-01   0.4126856E+01   0.0000000E+00   0.1173313E+01
  -0.1545782E-01   0.3654150E+01   0.1917846E+01   0.1173313E+01
  -0.7391091E-02   0.2344322E+01   0.3396336E+01   0.1173313E+01
  -0.1169664E-01  -0.3088996E+01   0.2736612E+01   0.1173313E+01
  -0.1798588E-01  -0.4006937E+01   0.9876214E+00   0.1173313E+01
  -0.1798588E-01  -0.4006937E+01  -0.9876214E+00   0.1173313E+01
  -0.1169664E-01  -0.3088996E+01  -0.2736612E+01   0.1173313E+01
  -0.7391091E-02   0.2344322E+01  -0.3396336E+01   0.1173313E+01
  -0.1545782E-01   0.3654150E+01  -0.1917846E+01   0.1173313E+01
