Reading parm file (1crnx.leap.prm)
title:
                                                                                
	mm_options:  cut=100.000000
	mm_options:  nsnb=1001
	mm_options:  diel=C
	mm_options:  gb=5
	mm_options:  rgbmax=15.000000
	mm_options:  wcons=0.000000
	mm_options:  ntpr=10
      iter    Total       bad      vdW     elect   nonpolar   genBorn      frms
ff:     0   -768.86    611.05    -92.09   -980.60      0.00   -307.22  1.53e+01
ff:    10   -955.14    499.28   -136.47  -1006.70      0.00   -311.25  2.58e+00
ff:    20   -988.82    506.91   -162.96  -1017.61      0.00   -315.16  2.35e+00
ff:    30  -1003.76    515.39   -178.67  -1021.02      0.00   -319.46  1.71e+00
ff:    40  -1011.67    520.88   -186.05  -1025.62      0.00   -320.88  1.22e+00
ff:    50  -1016.91    520.65   -189.31  -1026.66      0.00   -321.59  9.50e-01
ff:    60  -1020.51    518.93   -191.07  -1026.06      0.00   -322.31  9.03e-01
ff:    70  -1023.93    517.77   -192.56  -1025.33      0.00   -323.82  6.50e-01
ff:    80  -1027.18    514.49   -192.82  -1024.48      0.00   -324.37  7.57e-01
ff:    90  -1030.47    510.46   -191.46  -1025.10      0.00   -324.37  7.33e-01
ff:   100  -1034.57    507.40   -189.25  -1029.18      0.00   -323.54  8.49e-01
ff:   110  -1037.67    505.16   -188.52  -1031.14      0.00   -323.16  6.17e-01
ff:   120  -1039.41    504.35   -188.51  -1032.17      0.00   -323.08  5.06e-01
ff:   130  -1040.25    504.18   -188.62  -1032.84      0.00   -322.96  2.89e-01
ff:   140  -1041.49    503.41   -189.03  -1032.67      0.00   -323.20  4.20e-01
ff:   150  -1042.47    502.36   -189.30  -1031.65      0.00   -323.88  4.27e-01
ff:   160  -1042.94    502.59   -189.71  -1031.67      0.00   -324.16  2.64e-01
ff:   170  -1043.37    503.55   -190.11  -1032.12      0.00   -324.69  3.00e-01
ff:   180  -1043.98    505.65   -191.05  -1033.42      0.00   -325.16  3.15e-01
ff:   190  -1044.56    506.70   -191.42  -1034.29      0.00   -325.55  3.27e-01
ff:   200  -1045.52    505.31   -190.78  -1034.55      0.00   -325.50  4.62e-01
ff:   210  -1046.61    503.08   -190.29  -1034.00      0.00   -325.40  3.66e-01
ff:   220  -1047.50    501.78   -189.54  -1033.76      0.00   -325.99  3.65e-01
ff:   230  -1048.09    501.20   -188.95  -1033.75      0.00   -326.59  3.05e-01
ff:   240  -1048.61    501.29   -188.98  -1033.86      0.00   -327.06  2.75e-01
ff:   250  -1049.01    501.83   -189.23  -1034.35      0.00   -327.26  1.91e-01
ff:   260  -1049.25    502.79   -190.06  -1034.59      0.00   -327.40  2.01e-01
ff:   270  -1049.44    504.10   -191.13  -1034.69      0.00   -327.72  1.93e-01
ff:   280  -1049.61    504.62   -191.56  -1034.73      0.00   -327.95  1.93e-01
ff:   290  -1049.82    504.66   -191.57  -1034.80      0.00   -328.11  1.99e-01
ff:   300  -1050.03    504.13   -191.25  -1034.68      0.00   -328.23  1.76e-01
ff:   310  -1050.21    503.78   -191.05  -1034.51      0.00   -328.43  2.01e-01
ff:   320  -1050.43    503.87   -191.16  -1034.20      0.00   -328.94  2.21e-01
ff:   330  -1050.65    504.09   -191.57  -1033.65      0.00   -329.52  2.22e-01
ff:   340  -1050.86    504.25   -191.80  -1033.41      0.00   -329.90  1.85e-01
ff:   350  -1051.15    504.03   -191.68  -1033.34      0.00   -330.15  2.09e-01
ff:   360  -1051.48    503.75   -191.59  -1033.08      0.00   -330.57  2.45e-01
ff:   370  -1051.76    503.63   -191.71  -1032.78      0.00   -330.90  1.91e-01
ff:   380  -1052.02    503.69   -191.87  -1032.82      0.00   -331.02  1.99e-01
ff:   390  -1052.25    503.23   -191.82  -1032.65      0.00   -331.01  2.15e-01
ff:   400  -1052.49    502.65   -191.51  -1032.42      0.00   -331.22  2.16e-01
ff:   410  -1052.71    502.03   -191.60  -1031.79      0.00   -331.36  1.89e-01
ff:   420  -1052.95    501.92   -192.21  -1030.97      0.00   -331.69  2.01e-01
ff:   430  -1053.14    502.35   -192.89  -1030.73      0.00   -331.87  1.78e-01
ff:   440  -1053.36    503.05   -193.37  -1031.08      0.00   -331.96  1.56e-01
ff:   450  -1053.56    503.64   -193.43  -1031.79      0.00   -331.98  1.94e-01
ff:   460  -1053.73    503.77   -193.18  -1032.69      0.00   -331.63  1.61e-01
ff:   470  -1053.87    503.55   -193.18  -1032.88      0.00   -331.36  1.61e-01
ff:   480  -1054.02    503.36   -193.42  -1032.67      0.00   -331.29  1.39e-01
ff:   490  -1054.16    503.18   -193.34  -1032.59      0.00   -331.42  1.48e-01
ff:   500  -1054.30    502.90   -193.10  -1032.53      0.00   -331.58  1.53e-01
ff:   510  -1054.48    502.56   -192.74  -1032.73      0.00   -331.56  1.99e-01
ff:   520  -1054.64    502.37   -192.77  -1032.69      0.00   -331.55  1.71e-01
ff:   530  -1054.82    502.64   -192.94  -1032.95      0.00   -331.57  1.94e-01
ff:   540  -1054.99    503.00   -193.22  -1033.23      0.00   -331.54  2.05e-01
ff:   550  -1055.16    503.68   -193.45  -1033.92      0.00   -331.47  1.87e-01
ff:   560  -1055.30    503.96   -193.57  -1034.21      0.00   -331.48  1.72e-01
ff:   570  -1055.45    504.30   -193.86  -1034.26      0.00   -331.63  1.65e-01
ff:   580  -1055.59    504.51   -193.95  -1034.29      0.00   -331.86  1.53e-01
ff:   590  -1055.71    504.46   -194.06  -1034.11      0.00   -332.00  1.37e-01
ff:   600  -1055.83    504.60   -194.31  -1033.79      0.00   -332.33  1.52e-01
ff:   610  -1055.94    504.61   -194.68  -1033.39      0.00   -332.49  1.48e-01
ff:   620  -1056.04    504.98   -195.27  -1032.89      0.00   -332.86  1.44e-01
ff:   630  -1056.12    505.07   -195.51  -1032.72      0.00   -332.97  1.40e-01
ff:   640  -1056.22    505.16   -195.47  -1032.76      0.00   -333.15  1.47e-01
ff:   650  -1056.31    504.97   -195.25  -1033.03      0.00   -333.00  1.27e-01
ff:   660  -1056.38    504.99   -195.20  -1033.11      0.00   -333.05  1.13e-01
ff:   670  -1056.45    504.93   -195.20  -1033.29      0.00   -332.88  1.24e-01
ff:   680  -1056.51    505.01   -195.20  -1033.39      0.00   -332.93  1.19e-01
------------------------------
initial energy: -768.862 kcal/mol
final   energy: -1056.529 kcal/mol
minimizer finished after 685 iterations
refined coordinates written to crambin.min.pdb
------------------------------
