# attrname	Type		Class	Kind		In			Accesss
atomname	T_STRING	C_VAR	K_SCALAR	T_ATOM			A_DIRECT
atomnum		T_INT		C_EXPR	K_SCALAR	T_ATOM			A_FUNCTION
atomtype	T_STRING	C_VAR	K_SCALAR	T_ATOM			A_DIRECT
bfact		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
charge		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
element		T_STRING	C_EXPR	K_SCALAR	T_ATOM			A_DIRECT
float1		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
float2		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
fullname	T_STRING	C_EXPR	K_SCALAR	T_ATOM			A_FUNCTION
int1		T_INT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
natoms		T_INT		C_EXPR	K_SCALAR	T_MOLECULE		A_FUNCTION
nresidues	T_INT		C_EXPR	K_SCALAR	T_MOLECULE		A_FUNCTION
nstrands	T_INT		C_EXPR	K_SCALAR	T_MOLECULE		A_FUNCTION
occ		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
pos		T_POINT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
radius		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
resid		T_STRING	C_VAR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_DIRECT
resname		T_STRING	C_VAR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_DIRECT
resnum		T_INT		C_EXPR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_FUNCTION
strandname	T_STRING	C_VAR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_DIRECT
strandnum	T_INT		C_EXPR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_FUNCTION
tatomnum	T_INT		C_EXPR	K_SCALAR	T_ATOM			A_FUNCTION
tresnum		T_INT		C_EXPR	K_SCALAR	{ T_ATOM, T_RESIDUE }	A_FUNCTION
w		T_FLOAT		C_VAR	K_SCALAR	T_ATOM			A_DIRECT
x		T_FLOAT		C_VAR	K_SCALAR	{ T_POINT, T_ATOM }	A_DIRECT
y		T_FLOAT		C_VAR	K_SCALAR	{ T_POINT, T_ATOM }	A_DIRECT
z		T_FLOAT		C_VAR	K_SCALAR	{ T_POINT, T_ATOM }	A_DIRECT
